round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
4,7,2.027512,0.173123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295149,0.000000,0,0,0,N/A,0.00
4,8,2.016691,0.162807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280024,0.000000,0,0,0,N/A,0.00
4,9,2.017563,0.003884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007739,0.000000,0,0,0,N/A,0.00
4,10,1.987295,0.148539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258658,0.000000,0,0,0,N/A,0.00
4,MEAN,2.044456,0.087963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153624,0.000000,0,,N/A,N/A,512.34
5,1,nan,0.407325,0.578864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,2,nan,0.540622,0.701823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,3,nan,0.016170,0.031826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,4,nan,0.168268,0.288064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,5,nan,0.047401,0.090512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,6,nan,0.110199,0.198521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,7,nan,0.514776,0.679673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,8,nan,0.123439,0.219753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,9,nan,0.200583,0.334142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,10,nan,0.317236,0.481669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
5,MEAN,nan,0.244602,0.360485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,254.15
6,1,2.085146,0.000775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001549,0.000000,0,0,0,N/A,0.00
6,2,2.033800,0.003974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007916,0.000000,0,0,0,N/A,0.00
6,3,2.154133,0.111281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200275,0.000000,0,0,0,N/A,0.00
6,4,1.997824,0.118710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212227,0.000000,0,0,0,N/A,0.00
6,5,2.102775,0.004090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008148,0.000000,0,0,0,N/A,0.00
6,6,2.012488,0.152444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,0.000000,0,0,0,N/A,0.00
6,7,2.032315,0.173123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295149,0.000000,0,0,0,N/A,0.00
6,8,2.021124,0.162807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280024,0.000000,0,0,0,N/A,0.00
6,9,2.021173,0.003884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007739,0.000000,0,0,0,N/A,0.00
6,10,1.994683,0.148539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258658,0.000000,0,0,0,N/A,0.00
6,MEAN,2.045546,0.087963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153624,0.000000,0,,N/A,N/A,39348.31
7,1,nan,0.407325,0.578864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
7,2,nan,0.540622,0.701823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
7,3,nan,0.016170,0.031826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
