round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,472995.2707710585,byzantine,FN,27585,1.505087061007837,,0.7
1,2,874622.2915301106,byzantine,FN,20025,1.3294055276688073,,0.7
1,3,593389.7162392733,honest,TN,24056,1.7416985958662008,,0.7
1,4,979283.7743827007,honest,TN,42850,1.407872066632392,,0.7
1,5,538971.5199354696,honest,TN,32692,1.2552754601242937,,0.7
1,6,2124058.5718072467,honest,TN,61349,1.2782709978826896,,0.7
1,7,911684.8756693366,honest,TN,39524,1.4632909224593453,,0.7
1,8,2124065.714356686,honest,TN,61269,1.4062414392710445,,0.7
1,9,1420043.3193503688,honest,TN,15534,1.7877402481724878,,0.7
1,10,1748104.3776554903,honest,TN,58665,1.2785062261378668,,0.7
2,1,4081891.2318153027,byzantine,TP,27585,1.505087061007837,,0.7
2,2,4081891.138789601,byzantine,TP,20025,1.3294055276688073,,0.7
2,3,1462707.8716098354,honest,TN,24056,1.7416985958662008,,0.7
2,4,1072921.589864362,honest,TN,42850,1.407872066632392,,0.7
2,5,1546175.503496313,honest,TN,32692,1.2552754601242937,,0.7
2,6,2318528.7762372745,honest,TN,61349,1.2782709978826896,,0.7
2,7,1234769.4166077622,honest,TN,39524,1.4632909224593453,,0.7
2,8,2318530.8449712694,honest,TN,61269,1.4062414392710445,,0.7
2,9,1669818.244578848,honest,TN,15534,1.7877402481724878,,0.7
2,10,1928534.7276899049,honest,TN,58665,1.2785062261378668,,0.7
3,1,4070718.726551781,byzantine,TP,27585,1.505087061007837,,0.7
3,2,4070718.6921982444,byzantine,TP,20025,1.3294055276688073,,0.7
3,3,1459213.382455347,honest,TN,24056,1.7416985958662008,,0.7
3,4,1072902.0428424682,honest,TN,42850,1.407872066632392,,0.7
3,5,1546160.7023230237,honest,TN,32692,1.2552754601242937,,0.7
3,6,2318495.757632578,honest,TN,61349,1.2782709978826896,,0.7
3,7,1234743.8542566348,honest,TN,39524,1.4632909224593453,,0.7
3,8,2318515.2532512173,honest,TN,61269,1.4062414392710445,,0.7
3,9,1667542.3144051512,honest,TN,15534,1.7877402481724878,,0.7
3,10,1928503.5710556637,honest,TN,58665,1.2785062261378668,,0.7
4,1,4063930.207140936,byzantine,TP,27585,1.505087061007837,,0.7
4,2,4063930.1599404644,byzantine,TP,20025,1.3294055276688073,,0.7
4,3,1457100.4807560015,honest,TN,24056,1.7416985958662008,,0.7
4,4,1072901.0285882365,honest,TN,42850,1.407872066632392,,0.7
4,5,1546136.2301723575,honest,TN,32692,1.2552754601242937,,0.7
4,6,2318488.9496372677,honest,TN,61349,1.2782709978826896,,0.7
4,7,1234736.5366660657,honest,TN,39524,1.4632909224593453,,0.7
4,8,2318488.8430427806,honest,TN,61269,1.4062414392710445,,0.7
4,9,1666167.0686080898,honest,TN,15534,1.7877402481724878,,0.7
4,10,1928500.8230286282,honest,TN,58665,1.2785062261378668,,0.7
5,1,4062102.451445926,byzantine,TP,27585,1.505087061007837,,0.7
5,2,4062102.424888828,byzantine,TP,20025,1.3294055276688073,,0.7
5,3,1456537.6202253643,honest,TN,24056,1.7416985958662008,,0.7
5,4,1072904.5073620505,honest,TN,42850,1.407872066632392,,0.7
5,5,1546138.6971621206,honest,TN,32692,1.2552754601242937,,0.7
5,6,2318489.925639375,honest,TN,61349,1.2782709978826896,,0.7
5,7,1234770.0208162218,honest,TN,39524,1.4632909224593453,,0.7
5,8,2318489.5685076993,honest,TN,61269,1.4062414392710445,,0.7
5,9,1665809.1028148853,honest,TN,15534,1.7877402481724878,,0.7
5,10,1928511.4077231698,honest,TN,58665,1.2785062261378668,,0.7
6,1,4061557.222520397,byzantine,TP,27585,1.505087061007837,,0.7
6,2,4061557.2025379622,byzantine,TP,20025,1.3294055276688073,,0.7
6,3,1456372.8465102767,honest,TN,24056,1.7416985958662008,,0.7
6,4,1072945.537741836,honest,TN,42850,1.407872066632392,,0.7
6,5,1546143.5471148498,honest,TN,32692,1.2552754601242937,,0.7
6,6,2318509.889223096,honest,TN,61349,1.2782709978826896,,0.7
6,7,1234757.1790688403,honest,TN,39524,1.4632909224593453,,0.7
6,8,2318603.1030078935,honest,TN,61269,1.4062414392710445,,0.7
6,9,1665695.1635700776,honest,TN,15534,1.7877402481724878,,0.7
6,10,1928544.5165481693,honest,TN,58665,1.2785062261378668,,0.7
7,1,4061013.198714813,byzantine,TP,27585,1.505087061007837,,0.7
7,2,4061013.168238301,byzantine,TP,20025,1.3294055276688073,,0.7
7,3,1456195.2439532804,honest,TN,24056,1.7416985958662008,,0.7
7,4,1072894.2126187882,honest,TN,42850,1.407872066632392,,0.7
7,5,1546123.5967304944,honest,TN,32692,1.2552754601242937,,0.7
7,6,2318514.320181111,honest,TN,61349,1.2782709978826896,,0.7
7,7,1234735.1069705444,honest,TN,39524,1.4632909224593453,,0.7
7,8,2318498.207221196,honest,TN,61269,1.4062414392710445,,0.7
7,9,1665574.930992057,honest,TN,15534,1.7877402481724878,,0.7
7,10,1928491.271829753,honest,TN,58665,1.2785062261378668,,0.7
8,1,4060322.090506913,byzantine,TP,27585,1.505087061007837,,0.7
8,2,4060322.0782633717,byzantine,TP,20025,1.3294055276688073,,0.7
8,3,1455981.5758668482,honest,TN,24056,1.7416985958662008,,0.7
8,4,1072891.6166487464,honest,TN,42850,1.407872066632392,,0.7
8,5,1546123.085589258,honest,TN,32692,1.2552754601242937,,0.7
8,6,2318473.940890382,honest,TN,61349,1.2782709978826896,,0.7
8,7,1234727.7634398816,honest,TN,39524,1.4632909224593453,,0.7
8,8,2318480.542227425,honest,TN,61269,1.4062414392710445,,0.7
8,9,1665440.702349199,honest,TN,15534,1.7877402481724878,,0.7
8,10,1928480.6558891626,honest,TN,58665,1.2785062261378668,,0.7
9,1,4060630.4130526567,byzantine,TP,27585,1.505087061007837,,0.7
9,2,4060630.3881746335,byzantine,TP,20025,1.3294055276688073,,0.7
9,3,1456080.2326009732,honest,TN,24056,1.7416985958662008,,0.7
9,4,1072979.0589760207,honest,TN,42850,1.407872066632392,,0.7
9,5,1546137.7226490132,honest,TN,32692,1.2552754601242937,,0.7
9,6,2318494.802200469,honest,TN,61349,1.2782709978826896,,0.7
9,7,1234740.8561425721,honest,TN,39524,1.4632909224593453,,0.7
9,8,2318494.271812906,honest,TN,61269,1.4062414392710445,,0.7
9,9,1665509.40652245,honest,TN,15534,1.7877402481724878,,0.7
9,10,1928514.4033233598,honest,TN,58665,1.2785062261378668,,0.7
10,1,4059916.0588367437,byzantine,TP,27585,1.505087061007837,,0.7
10,2,4059916.0292205084,byzantine,TP,20025,1.3294055276688073,,0.7
10,3,1455890.7197513636,honest,TN,24056,1.7416985958662008,,0.7
10,4,1073141.6858079112,honest,TN,42850,1.407872066632392,,0.7
10,5,1546180.7909388663,honest,TN,32692,1.2552754601242937,,0.7
10,6,2318553.3639214253,honest,TN,61349,1.2782709978826896,,0.7
10,7,1234779.9880287258,honest,TN,39524,1.4632909224593453,,0.7
10,8,2318549.2741215145,honest,TN,61269,1.4062414392710445,,0.7
10,9,1665399.5855914918,honest,TN,15534,1.7877402481724878,,0.7
10,10,1928574.9676465176,honest,TN,58665,1.2785062261378668,,0.7
11,1,4060360.7202878185,byzantine,TP,27585,1.505087061007837,,0.7
11,2,4060360.708158578,byzantine,TP,20025,1.3294055276688073,,0.7
11,3,1455998.484416633,honest,TN,24056,1.7416985958662008,,0.7
11,4,1072949.9020135186,honest,TN,42850,1.407872066632392,,0.7
11,5,1546127.9858169728,honest,TN,32692,1.2552754601242937,,0.7
11,6,2318544.9844662007,honest,TN,61349,1.2782709978826896,,0.7
11,7,1234786.9822786902,honest,TN,39524,1.4632909224593453,,0.7
11,8,2318840.0058918805,honest,TN,61269,1.4062414392710445,,0.7
11,9,1665444.462982243,honest,TN,15534,1.7877402481724878,,0.7
11,10,1928575.7346514342,honest,TN,58665,1.2785062261378668,,0.7
12,1,4060439.032300911,byzantine,TP,27585,1.505087061007837,,0.7
12,2,4060439.0046020215,byzantine,TP,20025,1.3294055276688073,,0.7
12,3,1456027.1745304011,honest,TN,24056,1.7416985958662008,,0.7
12,4,1072909.775943669,honest,TN,42850,1.407872066632392,,0.7
12,5,1546137.6634246071,honest,TN,32692,1.2552754601242937,,0.7
12,6,2318497.524550481,honest,TN,61349,1.2782709978826896,,0.7
12,7,1234744.1951792557,honest,TN,39524,1.4632909224593453,,0.7
12,8,2318508.966006767,honest,TN,61269,1.4062414392710445,,0.7
12,9,1665466.335881725,honest,TN,15534,1.7877402481724878,,0.7
12,10,1928514.3673028867,honest,TN,58665,1.2785062261378668,,0.7
13,1,4060219.311616101,byzantine,TP,27585,1.505087061007837,,0.7
13,2,4060219.299957514,byzantine,TP,20025,1.3294055276688073,,0.7
13,3,1455959.286482362,honest,TN,24056,1.7416985958662008,,0.7
13,4,1072909.60094196,honest,TN,42850,1.407872066632392,,0.7
13,5,1546160.1630322584,honest,TN,32692,1.2552754601242937,,0.7
13,6,2318497.581630199,honest,TN,61349,1.2782709978826896,,0.7
13,7,1234743.296853876,honest,TN,39524,1.4632909224593453,,0.7
13,8,2318519.53150521,honest,TN,61269,1.4062414392710445,,0.7
13,9,1665426.453411376,honest,TN,15534,1.7877402481724878,,0.7
13,10,1928504.95141669,honest,TN,58665,1.2785062261378668,,0.7
14,1,4059932.9234444844,byzantine,TP,27585,1.505087061007837,,0.7
14,2,4059932.883015913,byzantine,TP,20025,1.3294055276688073,,0.7
14,3,1455897.037383389,honest,TN,24056,1.7416985958662008,,0.7
14,4,1073310.68229957,honest,TN,42850,1.407872066632392,,0.7
14,5,1546193.024168841,honest,TN,32692,1.2552754601242937,,0.7
14,6,2318630.979810561,honest,TN,61349,1.2782709978826896,,0.7
14,7,1234816.4540384947,honest,TN,39524,1.4632909224593453,,0.7
14,8,2318558.4442366567,honest,TN,61269,1.4062414392710445,,0.7
14,9,1665402.3413859196,honest,TN,15534,1.7877402481724878,,0.7
14,10,1928604.80655205,honest,TN,58665,1.2785062261378668,,0.7
15,1,4060184.561040013,byzantine,TP,27585,1.505087061007837,,0.7
15,2,4060184.5129886516,byzantine,TP,20025,1.3294055276688073,,0.7
15,3,1455931.2450851584,honest,TN,24056,1.7416985958662008,,0.7
15,4,1072917.4827114372,honest,TN,42850,1.407872066632392,,0.7
15,5,1546122.075981109,honest,TN,32692,1.2552754601242937,,0.7
15,6,2318487.233189251,honest,TN,61349,1.2782709978826896,,0.7
15,7,1234739.9811534272,honest,TN,39524,1.4632909224593453,,0.7
15,8,2318568.233757684,honest,TN,61269,1.4062414392710445,,0.7
15,9,1665402.5534584038,honest,TN,15534,1.7877402481724878,,0.7
15,10,1928497.7300164192,honest,TN,58665,1.2785062261378668,,0.7
16,1,4060161.8253489668,byzantine,TP,27585,1.505087061007837,,0.7
16,2,4060161.813096022,byzantine,TP,20025,1.3294055276688073,,0.7
16,3,1455951.5519927137,honest,TN,24056,1.7416985958662008,,0.7
16,4,1073001.0253562578,honest,TN,42850,1.407872066632392,,0.7
16,5,1546140.4920778717,honest,TN,32692,1.2552754601242937,,0.7
16,6,2318495.4773203023,honest,TN,61349,1.2782709978826896,,0.7
16,7,1234750.3456507272,honest,TN,39524,1.4632909224593453,,0.7
16,8,2318503.4722113158,honest,TN,61269,1.4062414392710445,,0.7
16,9,1665415.3705983844,honest,TN,15534,1.7877402481724878,,0.7
16,10,1928522.7538579917,honest,TN,58665,1.2785062261378668,,0.7
17,1,4060197.210358215,byzantine,TP,27585,1.505087061007837,,0.7
17,2,4060197.143924277,byzantine,TP,20025,1.3294055276688073,,0.7
17,3,1456104.2948613744,honest,TN,24056,1.7416985958662008,,0.7
17,4,1073083.960091871,honest,TN,42850,1.407872066632392,,0.7
17,5,1546357.478960419,honest,TN,32692,1.2552754601242937,,0.7
17,6,2318749.519875833,honest,TN,61349,1.2782709978826896,,0.7
17,7,1236064.6717097722,honest,TN,39524,1.4632909224593453,,0.7
17,8,2318688.6091811503,honest,TN,61269,1.4062414392710445,,0.7
17,9,1665610.868535695,honest,TN,15534,1.7877402481724878,,0.7
17,10,1928725.3970746635,honest,TN,58665,1.2785062261378668,,0.7
18,1,4059586.677854252,byzantine,TP,27585,1.505087061007837,,0.7
18,2,4059586.6645863443,byzantine,TP,20025,1.3294055276688073,,0.7
18,3,1455762.7629534362,honest,TN,24056,1.7416985958662008,,0.7
18,4,1072963.751839033,honest,TN,42850,1.407872066632392,,0.7
18,5,1546135.4587898469,honest,TN,32692,1.2552754601242937,,0.7
18,6,2318493.120260926,honest,TN,61349,1.2782709978826896,,0.7
18,7,1234743.8529446402,honest,TN,39524,1.4632909224593453,,0.7
18,8,2318491.8691859352,honest,TN,61269,1.4062414392710445,,0.7
18,9,1665308.1873206971,honest,TN,15534,1.7877402481724878,,0.7
18,10,1928507.6797329455,honest,TN,58665,1.2785062261378668,,0.7
19,1,4060322.4681280553,byzantine,TP,27585,1.505087061007837,,0.7
19,2,4060322.423910439,byzantine,TP,20025,1.3294055276688073,,0.7
19,3,1455978.1566170198,honest,TN,24056,1.7416985958662008,,0.7
19,4,1072893.5404501883,honest,TN,42850,1.407872066632392,,0.7
19,5,1546122.4749686094,honest,TN,32692,1.2552754601242937,,0.7
19,6,2318477.2509237044,honest,TN,61349,1.2782709978826896,,0.7
19,7,1234739.8590125327,honest,TN,39524,1.4632909224593453,,0.7
19,8,2318512.194158705,honest,TN,61269,1.4062414392710445,,0.7
19,9,1665437.4560886468,honest,TN,15534,1.7877402481724878,,0.7
19,10,1928503.7555219631,honest,TN,58665,1.2785062261378668,,0.7
20,1,4060244.538773264,byzantine,TP,27585,1.505087061007837,,0.7
20,2,4060244.5148581984,byzantine,TP,20025,1.3294055276688073,,0.7
20,3,1455962.6985568095,honest,TN,24056,1.7416985958662008,,0.7
20,4,1072905.0790076582,honest,TN,42850,1.407872066632392,,0.7
20,5,1546157.5250852644,honest,TN,32692,1.2552754601242937,,0.7
20,6,2318485.032216844,honest,TN,61349,1.2782709978826896,,0.7
20,7,1234739.276958968,honest,TN,39524,1.4632909224593453,,0.7
20,8,2318487.206402044,honest,TN,61269,1.4062414392710445,,0.7
20,9,1665426.0760342558,honest,TN,15534,1.7877402481724878,,0.7
20,10,1928520.014989582,honest,TN,58665,1.2785062261378668,,0.7
21,1,4060122.2095623985,byzantine,TP,27585,1.505087061007837,,0.7
21,2,4060122.186147986,byzantine,TP,20025,1.3294055276688073,,0.7
21,3,1455927.3625070492,honest,TN,24056,1.7416985958662008,,0.7
21,4,1072940.9726208611,honest,TN,42850,1.407872066632392,,0.7
21,5,1546135.3342501037,honest,TN,32692,1.2552754601242937,,0.7
21,6,2318490.9057648443,honest,TN,61349,1.2782709978826896,,0.7
21,7,1234749.8420525433,honest,TN,39524,1.4632909224593453,,0.7
21,8,2318510.3279314516,honest,TN,61269,1.4062414392710445,,0.7
21,9,1665400.5726706372,honest,TN,15534,1.7877402481724878,,0.7
21,10,1928552.0046028951,honest,TN,58665,1.2785062261378668,,0.7
22,1,4060518.1350677134,byzantine,TP,27585,1.505087061007837,,0.7
22,2,4060518.1076420294,byzantine,TP,20025,1.3294055276688073,,0.7
22,3,1456059.2868135097,honest,TN,24056,1.7416985958662008,,0.7
22,4,1072909.2494031396,honest,TN,42850,1.407872066632392,,0.7
22,5,1546136.2346092681,honest,TN,32692,1.2552754601242937,,0.7
22,6,2318499.604852831,honest,TN,61349,1.2782709978826896,,0.7
22,7,1234740.84814426,honest,TN,39524,1.4632909224593453,,0.7
22,8,2318486.3440372394,honest,TN,61269,1.4062414392710445,,0.7
22,9,1665476.1506016776,honest,TN,15534,1.7877402481724878,,0.7
22,10,1928512.544436941,honest,TN,58665,1.2785062261378668,,0.7
23,1,4059615.735357413,byzantine,TP,27585,1.505087061007837,,0.7
23,2,4059615.719106757,byzantine,TP,20025,1.3294055276688073,,0.7
23,3,1455767.2601212338,honest,TN,24056,1.7416985958662008,,0.7
23,4,1072894.18736993,honest,TN,42850,1.407872066632392,,0.7
23,5,1546136.4803143896,honest,TN,32692,1.2552754601242937,,0.7
23,6,2318480.960177757,honest,TN,61349,1.2782709978826896,,0.7
23,7,1234741.3763109958,honest,TN,39524,1.4632909224593453,,0.7
23,8,2318478.9496168913,honest,TN,61269,1.4062414392710445,,0.7
23,9,1665316.6997166774,honest,TN,15534,1.7877402481724878,,0.7
23,10,1928493.449014684,honest,TN,58665,1.2785062261378668,,0.7
24,1,4060116.665746508,byzantine,TP,27585,1.505087061007837,,0.7
24,2,4060116.641806133,byzantine,TP,20025,1.3294055276688073,,0.7
24,3,1455954.452349334,honest,TN,24056,1.7416985958662008,,0.7
24,4,1073268.083986271,honest,TN,42850,1.407872066632392,,0.7
24,5,1546190.2942866557,honest,TN,32692,1.2552754601242937,,0.7
24,6,2318542.098418515,honest,TN,61349,1.2782709978826896,,0.7
24,7,1234795.661361787,honest,TN,39524,1.4632909224593453,,0.7
24,8,2318545.245720658,honest,TN,61269,1.4062414392710445,,0.7
24,9,1665457.4429599186,honest,TN,15534,1.7877402481724878,,0.7
24,10,1928603.1273116851,honest,TN,58665,1.2785062261378668,,0.7
25,1,4059890.460179501,byzantine,TP,27585,1.505087061007837,,0.7
25,2,4059890.4242863874,byzantine,TP,20025,1.3294055276688073,,0.7
25,3,1455870.5553983068,honest,TN,24056,1.7416985958662008,,0.7
25,4,1072936.0248278703,honest,TN,42850,1.407872066632392,,0.7
25,5,1546133.6002127072,honest,TN,32692,1.2552754601242937,,0.7
25,6,2318486.13120568,honest,TN,61349,1.2782709978826896,,0.7
25,7,1234742.2096810674,honest,TN,39524,1.4632909224593453,,0.7
25,8,2318492.984900628,honest,TN,61269,1.4062414392710445,,0.7
25,9,1665357.3039253638,honest,TN,15534,1.7877402481724878,,0.7
25,10,1928514.9995433916,honest,TN,58665,1.2785062261378668,,0.7
