round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,1.2665292294377656e-05,byzantine,FN,30064,1.5202719823573294,,0.7
1,2,8.988814210977126e-06,byzantine,FN,39700,1.3082093533865293,,0.7
1,3,1.7368937970404784e-05,honest,TN,20972,1.4532538583970809,,0.7
1,4,1.7784601340548775e-05,honest,TN,20876,1.830737112889513,,0.7
1,5,8.955469301239568e-06,honest,TN,52458,1.6769883820087743,,0.7
1,6,7.9066533257897e-06,honest,TN,50221,1.711372126170055,,0.7
1,7,1.915862598560475e-05,honest,TN,64198,1.3797701526361075,,0.7
1,8,7.392554822704321e-06,honest,TN,48498,1.2544870311434804,,0.7
1,9,2.2595003425369017e-05,honest,TN,11341,1.643827160512035,,0.7
1,10,7.554399835087793e-06,honest,TN,45220,1.6005336081717305,,0.7
2,1,1.796964436303702e-05,byzantine,TP,30064,1.5202719823573294,,0.7
2,2,1.8171016393158694e-05,byzantine,TP,39700,1.3082093533865293,,0.7
2,3,7.428450547379186e-06,honest,TN,20972,1.4532538583970809,,0.7
2,4,7.452787371232068e-06,honest,TN,20876,1.830737112889513,,0.7
2,5,6.39666271116799e-06,honest,TN,52458,1.6769883820087743,,0.7
2,6,5.912174020961512e-06,honest,TN,50221,1.711372126170055,,0.7
2,7,9.552120388606691e-06,honest,TN,64198,1.3797701526361075,,0.7
2,8,5.583630749595099e-06,honest,TN,48498,1.2544870311434804,,0.7
2,9,7.416081391051936e-06,honest,TN,11341,1.643827160512035,,0.7
2,10,5.192848749427938e-06,honest,TN,45220,1.6005336081717305,,0.7
3,1,1.3452816773854791e-05,byzantine,TP,30064,1.5202719823573294,,0.7
3,2,1.3565750098096588e-05,byzantine,TP,39700,1.3082093533865293,,0.7
3,3,5.614046507784639e-06,honest,TN,20972,1.4532538583970809,,0.7
3,4,5.628189399502015e-06,honest,TN,20876,1.830737112889513,,0.7
3,5,4.947347480642845e-06,honest,TN,52458,1.6769883820087743,,0.7
3,6,4.537815864072151e-06,honest,TN,50221,1.711372126170055,,0.7
3,7,7.935690208546425e-06,honest,TN,64198,1.3797701526361075,,0.7
