round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
5,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
