round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
6,7,0.4789,0.8205,0.5932,0.7235,1,0.8973,1,0.8418,0.8487,0.8964
6,8,0.4076,0.8522,0.4586,0.7402,0.9973,0.9695,0.999,0.7646,0.5578,0.8626
6,9,0.2858,0.924,0.9208,0.1481,0.9996,0.9575,1,0.5745,0.7955,0.9167
6,10,0.4021,0.8533,0.5788,0.7278,0.98,0.9719,0.9995,0.8641,0.3117,0.8952
6,MEAN,0.3374,0.8866,0.585,0.662,0.9968,0.9047,0.9995,0.694,0.6585,0.8844
7,1,0.3616,0.8712,0.546,0.6667,0.9992,0.5776,0.9997,0.8641,0.8954,0.9021
7,2,0.3371,0.8877,0.9113,0.6631,1,0.9525,1,0.7488,0.6757,0.897
7,3,0.4026,0.8598,0.0454,0.7205,0.9992,0.832,0.9981,0.7224,0.8842,0.8895
7,4,0.3639,0.8999,0.9492,0.6924,1,0.9402,1,0.0889,0.7323,0.9182
7,5,0.1619,0.9511,0.0904,0.7114,0.999,0.9577,0.9986,0.8503,0.1985,0.7719
7,6,0.3172,0.8913,0.6489,0.7102,0.9993,0.8906,0.9996,0.4712,0.8537,0.8826
7,7,0.5165,0.8136,0.5809,0.71,1,0.8811,1,0.8229,0.8892,0.8876
7,8,0.4376,0.837,0.4046,0.7249,0.9985,0.9536,0.999,0.7449,0.5325,0.8576
7,9,0.3202,0.9161,0.8978,0.0606,0.9996,0.9403,0.9855,0.5536,0.8321,0.9107
7,10,0.4408,0.8286,0.5269,0.7087,0.9899,0.9562,0.9997,0.8418,0.2935,0.895
7,MEAN,0.3659,0.8756,0.5601,0.6368,0.9985,0.8882,0.998,0.6709,0.6787,0.8812
8,1,1.1389,0.5822,0.3225,0.1053,0.9251,0.1266,0.9563,0.5821,0.146,0.0419
8,2,1.8223,0.5986,0.6154,0.303,0.9292,0.7687,0.9368,0.443,0.2024,0.0573
8,3,1.7737,0.5806,0.0101,0.3043,0.9199,0.3719,0.9616,0.4728,0.1316,0.0545
8,4,2.5862,0.5067,0.3254,0.3412,0.927,0.7374,0.9713,0.0214,0.113,0.0613
8,5,0.7795,0.7844,0.026,0.1244,0.9138,0.7986,0.9701,0.5608,0,0.0064
