client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
3,0.49501983352228884,0.5,10.3125,1e-05,125
4,0.49551960227524616,0.5,12.03125,1e-05,125
5,0.4912946496623706,0.5,10.3125,1e-05,125
6,0.490139609550747,0.5,9.6875,1e-05,125
7,0.4953762170063374,0.5,12.65625,1e-05,125
8,0.49391618343333965,0.5,12.96875,1e-05,125
9,0.4981630988390362,0.5,9.0625,1e-05,125
10,0.49580796466129284,0.5,8.4375,1e-05,125
