client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
3,2.9994255661693883,3.0,2.119140625,1e-05,125
4,2.99844491394385,3.0,2.44140625,1e-05,125
5,2.993248442374141,3.0,2.109375,1e-05,125
6,2.9910108635588832,3.0,1.9921875,1e-05,125
7,2.997536932086094,3.0,2.55859375,1e-05,125
8,2.9953120096312085,3.0,2.6123046875,1e-05,125
9,2.9988424930112103,3.0,1.8994140625,1e-05,125
10,2.990225998271617,3.0,1.7822265625,1e-05,125
