client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
3,0.9929700818774535,1.0,5.46875,1e-05,125
4,0.9944765875719447,1.0,6.3671875,1e-05,125
5,0.9932964573327069,1.0,5.4296875,1e-05,125
6,0.9967546774041575,1.0,5.078125,1e-05,125
7,0.990281251541843,1.0,6.71875,1e-05,125
8,0.9949362074760001,1.0,6.8359375,1e-05,125
9,0.9925397964406358,1.0,4.84375,1e-05,125
10,0.993438927574463,1.0,4.4921875,1e-05,125
