tag,aggregator,requested_epsilon,seed,achieved_epsilon_max,achieved_epsilon_mean,achieved_epsilon_min,alpha,attack_type,byzantine_tpr_all_rounds,byzantine_tpr_last_25pct_rounds,honest_fpr_all_rounds,honest_fpr_last_25pct_rounds,n_clients,requested_epsilon_from_manifest,test_accuracy,test_aucpr_MITM,test_aucpr_Ransomware,test_aucpr_Vulnerability_scanner,test_f1_MITM,test_f1_Ransomware,test_f1_Vulnerability_scanner,test_f1_macro,test_recall_MITM,test_recall_Ransomware,test_recall_Vulnerability_scanner
E4_adaptive_krum_eps0.2_a0.7_minmax_seed42,adaptive_krum,0.2,42,0.19893591972485966,0.1948306983965727,0.19055469493300514,0.7,minmax,0.0,0.0,0.0,0.0,8,0.2,0.9783751314011113,0.3686980620675324,0.9746394356600456,0.9786369636796431,0.5241379310344828,0.917953667953668,0.9323879983559392,0.9096905335890841,0.9421487603305785,0.8700823421774931,0.9054081021752145
E4_adaptive_krum_eps0.5_a0.7_minmax_seed42,adaptive_krum,0.5,42,0.4981630988390362,0.49440464486883234,0.490139609550747,0.7,minmax,0.0,0.0,0.0,0.0,8,0.5,0.9801396606097011,0.4591852789047911,0.9886242504170311,0.9786090961475645,0.5042735042735043,0.9542910447761194,0.9360172537742631,0.9134253418605807,0.9752066115702479,0.9359560841720037,0.9093993214927161
E4_adaptive_krum_eps10_a0.7_minmax_seed42,adaptive_krum,10.0,42,9.999740063405214,9.996222783091373,9.990715207388032,0.7,minmax,0.0,0.0,0.0,0.0,8,10.0,0.9859588526805827,0.611497671587965,0.9807260432229237,0.9875880329346409,0.568075117370892,0.9529576152771309,0.9497920681610711,0.9265124254748305,1.0,0.9359560841720037,0.9343444422271003
E4_adaptive_krum_eps15_a0.7_minmax_seed42,adaptive_krum,15.0,42,14.999901939006147,14.996536382086013,14.992393163621767,0.7,minmax,0.0,0.0,0.0,0.0,8,15.0,0.9772863793362366,0.6180519214610123,0.9617225833012069,0.98218192620996,0.5389755011135857,0.788235294117647,0.9342023587833643,0.8971707122713843,1.0,0.6742909423604757,0.9010177609259629
E4_adaptive_krum_eps1_a0.7_minmax_seed42,adaptive_krum,1.0,42,0.9967546774041575,0.9935867484024006,0.990281251541843,0.7,minmax,0.0,0.0,0.0,0.0,8,1.0,0.9760849977474095,0.4944214813705056,0.936194198372212,0.9842002251824375,0.389351081530782,0.8922774225282833,0.9319511444113723,0.8897722013810161,0.9669421487603306,0.8298261665141812,0.9060067850728397
E4_adaptive_krum_eps3_a0.7_minmax_seed42,adaptive_krum,3.0,42,2.9994255661693883,2.995505902380799,2.990225998271617,0.7,minmax,0.0,0.0,0.0,0.0,8,3.0,0.9782437302898334,0.6068730725474993,0.9833411690872726,0.9782198030048309,0.4267631103074141,0.9547363509099394,0.9190890964424389,0.9015097289817275,0.9752066115702479,0.9359560841720037,0.8738774695669527
E4_adaptive_krum_eps5_a0.7_minmax_seed42,adaptive_krum,5.0,42,4.998975283622714,4.996259374032565,4.990188528356381,0.7,minmax,0.0,0.0,0.0,0.0,8,5.0,0.9797266856885418,0.6014433302043469,0.9652654120766477,0.9772338629839922,0.5,0.9277389277389277,0.9271685761047463,0.9089196469362888,1.0,0.9103385178408051,0.9044102973458391
E4_calibrated_krum_eps0.2_a0.7_minmax_seed42,calibrated_krum,0.2,42,0.19893591972485966,0.1948306983965727,0.19055469493300514,0.7,minmax,0.0,0.0,0.0,0.0,8,0.2,0.9783751314011113,0.3686980620675324,0.9746394356600456,0.9786369636796431,0.5241379310344828,0.917953667953668,0.9323879983559392,0.9096905335890841,0.9421487603305785,0.8700823421774931,0.9054081021752145
E4_calibrated_krum_eps0.5_a0.7_minmax_seed42,calibrated_krum,0.5,42,0.4981630988390362,0.49440464486883234,0.490139609550747,0.7,minmax,0.0,0.0,0.0,0.0,8,0.5,0.9801396606097011,0.4591852789047911,0.9886242504170311,0.9786090961475645,0.5042735042735043,0.9542910447761194,0.9360172537742631,0.9134253418605807,0.9752066115702479,0.9359560841720037,0.9093993214927161
E4_calibrated_krum_eps10_a0.7_minmax_seed42,calibrated_krum,10.0,42,9.999740063405214,9.996222783091373,9.990715207388032,0.7,minmax,0.0,0.0,0.0,0.0,8,10.0,0.9859588526805827,0.611497671587965,0.9807260432229237,0.9875880329346409,0.568075117370892,0.9529576152771309,0.9497920681610711,0.9265124254748305,1.0,0.9359560841720037,0.9343444422271003
E4_calibrated_krum_eps15_a0.7_minmax_seed42,calibrated_krum,15.0,42,14.999901939006147,14.996536382086013,14.992393163621767,0.7,minmax,0.0,0.0,0.0,0.0,8,15.0,0.9772863793362366,0.6180519214610123,0.9617225833012069,0.98218192620996,0.5389755011135857,0.788235294117647,0.9342023587833643,0.8971707122713843,1.0,0.6742909423604757,0.9010177609259629
E4_calibrated_krum_eps1_a0.7_minmax_seed42,calibrated_krum,1.0,42,0.9967546774041575,0.9935867484024006,0.990281251541843,0.7,minmax,0.0,0.0,0.0,0.0,8,1.0,0.9760849977474095,0.4944214813705056,0.936194198372212,0.9842002251824375,0.389351081530782,0.8922774225282833,0.9319511444113723,0.8897722013810161,0.9669421487603306,0.8298261665141812,0.9060067850728397
