round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
5,1,0.574668,0.780591,0.650481,0.159888,0.996270,0.207890,0.980639,0.862749,0.345799,0.878261,0,0,1,N/A,0.00
5,2,0.518206,0.857957,0.882507,0.534508,0.991803,0.927572,0.962343,0.829869,0.352941,0.859238,0,0,1,N/A,0.00
5,3,0.365816,0.876245,0.052863,0.821142,0.997317,0.551089,0.982286,0.840771,0.331808,0.864111,0,0,0,N/A,0.00
5,4,0.402674,0.876742,0.850344,0.617619,0.984252,0.887417,0.996261,0.252560,0.245283,0.874747,0,1,0,N/A,0.00
5,5,0.151963,0.955290,0.138211,0.621554,0.996400,0.975045,0.993828,0.864769,0.100000,0.757282,0,0,0,N/A,0.00
5,6,0.271021,0.905540,0.550676,0.840651,0.995781,0.744479,0.995572,0.786825,0.330612,0.832234,0,1,0,N/A,0.00
5,7,0.727732,0.725304,0.651163,0.657459,0.995261,0.644664,0.511628,0.861071,0.352763,0.857728,0,1,0,N/A,0.00
5,8,0.383755,0.878556,0.422037,0.810005,0.993166,0.961924,0.992539,0.842751,0.209302,0.850984,0,1,0,N/A,0.00
5,9,0.441381,0.855858,0.879888,0.022059,0.998843,0.880070,0.795181,0.727273,0.290698,0.867673,0,1,0,N/A,0.00
5,10,0.522524,0.837038,0.609798,0.566820,0.924528,0.965394,0.985802,0.863845,0.141414,0.850915,0,1,0,N/A,0.00
5,MEAN,0.435974,0.854912,0.568797,0.565170,0.987362,0.774554,0.919608,0.773248,0.270062,0.849317,0,6,1.0000,14.9942,2684.64
6,1,0.801413,0.741757,0.551028,0.145383,0.996694,0.206475,0.980779,0.802704,0.325627,0.505308,0,0,1,N/A,0.00
6,2,0.510907,0.860490,0.866781,0.526096,0.991803,0.937500,0.962343,0.774038,0.354167,0.880722,0,0,1,N/A,0.00
6,3,0.518525,0.828471,0.042895,0.690336,0.998662,0.536232,0.985741,0.802617,0.301402,0.675434,0,0,0,N/A,0.00
6,4,0.257649,0.914797,0.884990,0.645117,0.968992,0.892941,0.995705,0.351759,0.248756,0.930864,0,1,0,N/A,0.00
6,5,0.214158,0.943453,0.096181,0.529231,0.998513,0.984748,0.996939,0.816555,0.160000,0.297872,0,0,0,N/A,0.00
6,6,0.342181,0.870540,0.524116,0.689655,0.996726,0.745580,0.996046,0.748231,0.315353,0.702128,0,1,0,N/A,0.00
6,7,0.938572,0.679807,0.567691,0.578671,1.000000,0.647379,0.519685,0.808621,0.331279,0.760279,0,1,0,N/A,0.00
6,8,0.581093,0.818803,0.361532,0.674242,0.995841,0.965162,0.994324,0.790791,0.109589,0.604974,0,1,0,N/A,0.00
6,9,0.299939,0.894086,0.881119,0.060000,0.999615,0.880584,0.814815,0.722045,0.231707,0.946590,0,1,0,N/A,0.00
6,10,0.781210,0.785130,0.519057,0.488113,0.900901,0.975402,0.984979,0.806826,0.137931,0.667818,0,1,0,N/A,0.00
6,MEAN,0.524565,0.833733,0.529539,0.502684,0.984775,0.777200,0.923135,0.742419,0.251581,0.697199,0,6,1.0000,14.9942,2690.78
7,1,0.545791,0.817227,0.642889,0.306569,0.995445,0.220753,0.980310,0.901899,0.433624,0.881633,0,0,1,N/A,0.00
7,2,0.445440,0.865766,0.880312,0.560484,0.995885,0.922322,0.963427,0.832127,0.342105,0.880113,0,0,1,N/A,0.00
7,3,0.399955,0.867808,0.050686,0.769901,0.996471,0.527559,0.980026,0.851415,0.419459,0.835979,0,0,0,N/A,0.00
7,4,0.323822,0.892162,0.859848,0.639102,0.961538,0.864456,0.995426,0.250000,0.319328,0.907600,0,1,0,N/A,0.00
7,5,0.139527,0.963213,0.136273,0.721625,0.995529,0.975635,0.992525,0.905435,0.097561,0.681818,0,0,0,N/A,0.00
7,6,0.306972,0.890554,0.538843,0.766413,0.994615,0.729750,0.994970,0.733945,0.431002,0.823995,0,1,0,N/A,0.00
7,7,0.703789,0.752415,0.642012,0.697464,0.997636,0.662057,0.515625,0.885298,0.432857,0.866475,0,1,0,N/A,0.00
7,8,0.423539,0.867238,0.409687,0.762349,0.992413,0.942565,0.992021,0.853959,0.216216,0.803987,0,1,0,N/A,0.00
7,9,0.340279,0.883742,0.892351,0.041667,0.998843,0.885976,0.795181,0.761364,0.404040,0.906049,0,1,0,N/A,0.00
7,10,0.486930,0.861435,0.600336,0.640787,0.882883,0.960080,0.984442,0.893473,0.173913,0.849315,0,1,0,N/A,0.00
7,MEAN,0.411604,0.866156,0.565324,0.590636,0.981126,0.769115,0.919395,0.786892,0.327011,0.843696,0,6,1.0000,14.9942,2674.56
8,1,0.745831,0.780754,0.592346,0.156627,0.995868,0.264775,0.980455,0.816790,0.585305,0.573604,0,0,1,N/A,0.00
8,2,0.473684,0.862600,0.880591,0.575758,0.991803,0.932728,0.962343,0.789006,0.455285,0.878479,0,0,1,N/A,0.00
8,3,0.456262,0.867249,0.052174,0.802729,0.998098,0.612282,0.984240,0.808918,0.578641,0.766291,0,0,0,N/A,0.00
8,4,0.255441,0.913907,0.901857,0.682496,0.957854,0.900302,0.995287,0.409938,0.426877,0.922806,0,1,0,N/A,0.00
8,5,0.209962,0.948188,0.111658,0.640724,0.997846,0.978506,0.995945,0.827407,0.126316,0.404959,0,0,0,N/A,0.00
8,6,0.271971,0.910858,0.587387,0.832740,0.996260,0.798030,0.995805,0.778008,0.564460,0.797354,0,1,0,N/A,0.00
8,7,0.850437,0.733406,0.612994,0.653987,1.000000,0.711422,0.519685,0.817186,0.580854,0.807958,0,1,0,N/A,0.00
8,8,0.513011,0.857755,0.408862,0.794490,0.993958,0.961153,0.993029,0.810098,0.330435,0.717800,0,1,0,N/A,0.00
8,9,0.294250,0.893411,0.900000,0.034682,0.999229,0.899777,0.804878,0.769231,0.509346,0.920354,0,1,0,N/A,0.00
8,10,0.774090,0.801057,0.554726,0.583574,0.882883,0.966844,0.984442,0.816629,0.156028,0.713911,0,1,0,N/A,0.00
8,MEAN,0.484494,0.856919,0.560260,0.575781,0.981380,0.802582,0.921611,0.764321,0.431355,0.750352,0,6,1.0000,14.9942,2708.03
9,1,0.752466,0.796711,0.483131,0.176353,0.996267,0.453731,0.980645,0.765394,0.854382,0.627778,0,0,1,N/A,0.00
9,2,0.516030,0.846349,0.850413,0.618110,0.995885,0.905877,0.963427,0.744966,0.502591,0.897147,0,0,1,N/A,0.00
9,3,0.507035,0.858000,0.033449,0.787927,0.996396,0.791667,0.979911,0.762469,0.847380,0.772210,0,0,0,N/A,0.00
9,4,0.251695,0.918454,0.846580,0.705810,0.988142,0.897932,0.996400,0.422535,0.620155,0.931375,0,1,0,N/A,0.00
9,5,0.267654,0.926288,0.074155,0.640873,0.995367,0.925203,0.992316,0.781538,0.081633,0.384000,0,0,0,N/A,0.00
9,6,0.296405,0.907570,0.481645,0.805387,0.995305,0.851741,0.995335,0.738527,0.792208,0.783784,0,1,0,N/A,0.00
9,7,0.875828,0.750857,0.504046,0.661264,0.995261,0.829499,0.511628,0.770506,0.837443,0.812234,0,1,0,N/A,0.00
9,8,0.630671,0.819211,0.310371,0.783925,0.993543,0.918620,0.992798,0.753319,0.280000,0.711326,0,1,0,N/A,0.00
9,9,0.283585,0.900382,0.850667,0.048387,0.998457,0.898778,0.785714,0.736842,0.688312,0.933278,0,1,0,N/A,0.00
9,10,0.918696,0.752769,0.457056,0.594742,0.933333,0.920226,0.986074,0.771220,0.178674,0.738667,0,1,0,N/A,0.00
9,MEAN,0.530006,0.847659,0.489151,0.582278,0.988796,0.839327,0.918425,0.724732,0.568278,0.759180,0,6,1.0000,14.9942,2694.05
10,1,0.425557,0.876089,0.684033,0.643357,0.996683,0.326368,0.980803,0.920808,0.749176,0.734426,0,0,1,N/A,0.00
10,2,0.398410,0.879696,0.897345,0.628571,1.000000,0.917219,0.964509,0.849083,0.564626,0.880109,0,0,1,N/A,0.00
10,3,0.400148,0.880464,0.069164,0.755894,0.997883,0.547899,0.983766,0.865289,0.741935,0.792880,0,0,0,N/A,0.00
10,4,0.297458,0.902639,0.901259,0.660013,0.988142,0.851590,0.996400,0.208877,0.567742,0.919521,0,1,0,N/A,0.00
10,5,0.141789,0.965443,0.164649,0.760375,0.996967,0.951770,0.994664,0.923334,0.114650,0.529412,0,0,0,N/A,0.00
10,6,0.305454,0.898675,0.625720,0.742650,0.996718,0.747784,0.996050,0.741224,0.722467,0.801462,0,1,0,N/A,0.00
10,7,0.584055,0.820661,0.701698,0.712245,0.995261,0.756811,0.511628,0.905689,0.757390,0.837545,0,1,0,N/A,0.00
10,8,0.452753,0.866014,0.489747,0.742914,0.994689,0.892213,0.993565,0.871225,0.331288,0.747551,0,1,0,N/A,0.00
10,9,0.280109,0.906229,0.913043,0.040000,0.999229,0.904523,0.804878,0.756164,0.666667,0.919102,0,1,0,N/A,0.00
10,10,0.472819,0.877941,0.652047,0.724601,0.933333,0.924566,0.986074,0.914220,0.212560,0.799704,0,1,0,N/A,0.00
10,MEAN,0.375855,0.887385,0.609870,0.641062,0.989890,0.782074,0.921234,0.795592,0.542850,0.796171,0,6,1.0000,14.9942,2721.60
11,1,0.547910,0.836929,0.642761,0.205231,0.997099,0.346357,0.980962,0.864031,0.745314,0.643875,0,0,1,N/A,0.00
11,2,0.385811,0.875475,0.900964,0.597015,0.995885,0.939278,0.963427,0.813253,0.548611,0.878278,0,0,1,N/A,0.00
11,3,0.377611,0.883919,0.068279,0.800252,0.997883,0.720088,0.983760,0.840081,0.749574,0.757353,0,0,0,N/A,0.00
11,4,0.233376,0.914698,0.926829,0.685916,0.992063,0.916772,0.996539,0.259386,0.581940,0.921166,0,1,0,N/A,0.00
11,5,0.161217,0.955791,0.144068,0.672746,0.997121,0.968815,0.994893,0.875794,0.161765,0.379032,0,0,0,N/A,0.00
11,6,0.250128,0.918302,0.668024,0.820530,0.998592,0.849685,0.997009,0.786517,0.733835,0.776608,0,1,0,N/A,0.00
11,7,0.673353,0.794484,0.673830,0.686640,0.995261,0.783290,0.511628,0.865580,0.741917,0.800690,0,1,0,N/A,0.00
11,8,0.412920,0.873866,0.486874,0.795977,0.995448,0.960457,0.994080,0.851992,0.414286,0.706799,0,1,0,N/A,0.00
11,9,0.255296,0.907578,0.924198,0.039474,0.999614,0.916821,0.819277,0.745562,0.665323,0.926113,0,1,0,N/A,0.00
11,10,0.565467,0.839137,0.615755,0.628258,0.951456,0.962696,0.986617,0.864729,0.237288,0.729966,0,1,0,N/A,0.00
11,MEAN,0.386309,0.880018,0.605158,0.593204,0.992042,0.836426,0.922819,0.776692,0.557985,0.751988,0,6,1.0000,14.9942,2878.58
12,1,0.678009,0.795653,0.685415,0.193656,0.997517,0.289220,0.981114,0.823741,0.646569,0.320781,0,0,1,N/A,0.00
12,2,0.399180,0.882440,0.917480,0.652027,0.995885,0.946970,0.963427,0.800643,0.523077,0.878710,0,0,1,N/A,0.00
