client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
1,4.992372622238782,5.0,1.3623046875,1e-05,125
2,4.991404973915865,5.0,1.5673828125,1e-05,125
3,4.999773265671423,5.0,1.611328125,1e-05,125
4,4.993155359397133,5.0,1.95556640625,1e-05,125
5,4.991341537363879,5.0,1.845703125,1e-05,125
6,4.991404973915865,5.0,1.5673828125,1e-05,125
7,4.990586744470236,5.0,0.96435546875,1e-05,125
8,5.0201430212936,5.0,1.182861328125,1e-05,125
9,4.995259270071229,5.0,1.97998046875,1e-05,125
10,4.995259270071229,5.0,1.97998046875,1e-05,125
