client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
1,4.994814461497955,5.0,1.624755859375,1e-05,125
2,4.991341537363879,5.0,1.845703125,1e-05,125
3,4.997809274212864,5.0,1.72119140625,1e-05,125
4,4.992372622238782,5.0,1.3623046875,1e-05,125
5,4.993068720915147,5.0,1.51611328125,1e-05,125
6,4.992341094070512,5.0,1.19384765625,1e-05,125
7,4.995212928061895,5.0,1.4013671875,1e-05,125
8,4.992341094070512,5.0,1.19384765625,1e-05,125
9,4.993666490005229,5.0,2.06298828125,1e-05,125
10,4.992325470006819,5.0,1.212158203125,1e-05,125
