client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
1,4.992325470006819,5.0,1.212158203125,1e-05,125
2,4.990188528356381,5.0,1.455078125,1e-05,125
3,4.990188528356381,5.0,1.455078125,1e-05,125
4,4.994972336169387,5.0,1.650390625,1e-05,125
5,4.998975283622714,5.0,1.4453125,1e-05,125
6,4.995011849907761,5.0,1.37451171875,1e-05,125
7,4.997809274212864,5.0,1.72119140625,1e-05,125
8,4.998873784097769,5.0,1.7529296875,1e-05,125
9,4.995851121765712,5.0,1.32080078125,1e-05,125
10,4.998392814127933,5.0,1.24755859375,1e-05,125
