client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
1,4.995647237846993,5.0,2.158203125,1e-05,125
2,4.9926258948258555,5.0,1.52587890625,1e-05,125
3,4.993151616612294,5.0,2.0068359375,1e-05,125
4,4.991311806330567,5.0,1.9091796875,1e-05,125
5,4.994659701927552,5.0,1.1865234375,1e-05,125
6,4.9916596843164145,5.0,1.20849609375,1e-05,125
7,4.993686995252027,5.0,1.387939453125,1e-05,125
8,4.994501616113806,5.0,1.4306640625,1e-05,125
9,4.999544569543834,5.0,1.2744140625,1e-05,125
10,4.993240509920752,5.0,1.270751953125,1e-05,125
