model,condition,n_seeds,seeds_present,seeds_missing,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,minority_f1_avg_mean_PARTIAL,minority_recall_avg_mean_PARTIAL,minority_aucpr_avg_mean_PARTIAL,classes_in_this_model,f1_Ransomware_mean,f1_MITM_mean,f1_XSS_mean,f1_Fingerprinting_mean,f1_Vulnerability_scanner_mean,f1_Ransomware_ci95,f1_MITM_ci95,f1_XSS_ci95,f1_Fingerprinting_ci95,f1_Vulnerability_scanner_ci95,recall_Ransomware_mean,recall_MITM_mean,recall_XSS_mean,recall_Fingerprinting_mean,recall_Vulnerability_scanner_mean,recall_Ransomware_ci95,recall_MITM_ci95,recall_XSS_ci95,recall_Fingerprinting_ci95,recall_Vulnerability_scanner_ci95,aucpr_Ransomware_mean,aucpr_MITM_mean,aucpr_XSS_mean,aucpr_Fingerprinting_mean,aucpr_Vulnerability_scanner_mean,aucpr_Ransomware_ci95,aucpr_MITM_ci95,aucpr_XSS_ci95,aucpr_Fingerprinting_ci95,aucpr_Vulnerability_scanner_ci95
application,task4_centralized_cnnlstm,5,42;123;456;789;2024,,0.8879042344112917,0.0064052934761891205,0.8529879310777346,0.008581757633209324,0.7645378587512885,0.8713297426794564,0.7605331831802529,XSS;Fingerprinting,,,0.6244352456489906,0.9046404718535866,,,,0.022359882781768124,0.021633832527719752,,,,0.9146594853589127,0.828,,,,0.10292539901745554,0.04060937901519792,,,,0.6479107225621871,0.8731556437983187,,,,0.01825855741959877,0.030809008545251072,
application,task4_centralized_mlp,5,42;123;456;789;2024,,0.8886367696980525,0.0018184805678080546,0.8462282177735376,0.004541584966651568,0.7394352028217455,0.7282514678988912,0.7622088224005115,XSS;Fingerprinting,,,0.5718106738016994,0.9070597318417917,,,,0.05028589011074245,0.022581973270463306,,,,0.6245029357977822,0.8320000000000001,,,,0.17702339843099774,0.03866520585746309,,,,0.6503241064038662,0.8740935383971568,,,,0.005605029447671122,0.029390970832324236,
application,task4_centralized_rf,5,42;123;456;789;2024,,0.9599428265142042,0.0014588145956675133,0.9358042986361518,0.002723383155124264,0.8772653083853654,0.8346253786215807,0.9147246322985407,XSS;Fingerprinting,,,0.8464838108983868,0.908046805872344,,,,0.007008534404817159,0.02283508336942272,,,,0.8372507572431612,0.8320000000000001,,,,0.012526074232134667,0.03866520585746309,,,,0.9532045199521665,0.8762447446449151,,,,0.0032152562119908733,0.027056497932875893,
application,task4_centralized_xgboost,5,42;123;456;789;2024,,0.9617652313739503,0.0004074891422997405,0.9378765837096452,0.003029168675276128,0.8792665262688986,0.8512147285768883,0.9169940515935533,XSS;Fingerprinting,,,0.8504862466654532,0.908046805872344,,,,0.004914133069067372,0.02283508336942272,,,,0.8704294571537764,0.8320000000000001,,,,0.010864381265808538,0.03866520585746309,,,,0.9565685858170945,0.8774195173700121,,,,0.0030871052845330665,0.026259268197906166,
application,task4_fedavg,5,42;123;456;789;2024,,0.811184563158835,0.15589797296312663,0.7977494609054112,0.1048890210201008,0.7337507383234503,0.8201737932276087,0.7342907658177337,XSS;Fingerprinting,,,0.5630081343522082,0.9044933422946924,,,,0.12746400631566857,0.02128669180613529,,,,0.8143475864552177,0.826,,,,0.33396983063724467,0.03576625806538891,,,,0.5955112453688176,0.8730702862666497,,,,0.10396263121269729,0.02612229116818215,
application,task4_fedprox_dpsafe_arch_no_dp,5,42;123;456;789;2024,,0.8823834196891192,0.002613181289727313,0.8402365435990449,0.021689401643294078,0.7329523310667942,0.8302656067894469,0.7568614593922998,XSS;Fingerprinting,,,0.5611671195946959,0.9047375425388926,,,,0.14724358558950318,0.02094994452251991,,,,0.8325312135788938,0.828,,,,0.4183306378906914,0.03331199999999997,,,,0.639108399139093,0.8746145196455064,,,,0.008351515899844404,0.023182690473804037,
application,task4_fedprox_mu0,5,42;123;456;789;2024,,0.8390328151986184,0.10369456679029443,0.8028777569313608,0.10467267758244006,0.7172941231448814,0.7832859615487873,0.7193832696627604,XSS;Fingerprinting,,,0.5622382235424157,0.8723500227473471,,,,0.15441018572194706,0.09771131016342945,,,,0.7865719230975746,0.78,,,,0.373344185667501,0.14236306712065458,,,,0.6065751904885462,0.8321913488369745,,,,0.08965257193188352,0.1239176005210031,
application,task4_fedprox_mu0.005,5,42;123;456;789;2024,,0.8020963611458519,0.17699958564901253,0.785985301545789,0.11263804963020162,0.7138352736197185,0.8061705810637095,0.7317131808612152,XSS;Fingerprinting,,,0.5467811524468899,0.8808893947925472,,,,0.11713067513283429,0.060451836422421086,,,,0.790341162127419,0.8220000000000001,,,,0.3316829031551629,0.03555014576622715,,,,0.596098065408479,0.8673282963139514,,,,0.07013244981287235,0.0291424189265294,
application,task4_fedprox_mu0.02,5,42;123;456;789;2024,,0.7928592698469419,0.07645376153993677,0.7418778653953264,0.10460940800744215,0.6348203608967902,0.7348723093784447,0.6822350704433882,XSS;Fingerprinting,,,0.46119160458864616,0.8084491172049342,,,,0.13571060355215647,0.26151928445383954,,,,0.6337446187568895,0.836,,,,0.2817496647841977,0.053828637136750894,,,,0.5007874361954026,0.8636827046913738,,,,0.13792174407158053,0.032265114759875604,
application,task4_fedprox_mu0.05,5,42;123;456;789;2024,,0.7430409147757727,0.09813675832999161,0.6545825395663616,0.12281220840685772,0.4784115664234681,0.6073955951978623,0.5800070329874367,XSS;Fingerprinting,,,0.35783298916772976,0.5989901436792064,,,,0.1635281774811211,0.3255772503811302,,,,0.4787911903957247,0.736,,,,0.3546444728310765,0.2283418201206253,,,,0.40812549869237297,0.7518885672825004,,,,0.1541616427871132,0.14673638123840294,
