condition,n_seeds_paired,seeds_excluded_unpaired,minority_recall_avg_mean,minority_recall_avg_ci95,minority_aucpr_avg_mean,minority_aucpr_avg_ci95,n_aucpr_class_seed_points_dropped_as_nan
task4_centralized_cnnlstm,5,,0.932695805092618,0.023352494746292862,0.8319165859588551,0.007741337817692368,0
task4_centralized_mlp,5,,0.8492814965056714,0.06921390332260773,0.8340245247540181,0.008458400460804386,0
task4_centralized_rf,5,,0.9194189686692281,0.008299835597734836,0.8957279972756993,0.008836770710580305,0
task4_centralized_xgboost,5,,0.925783305737761,0.009109421413003766,0.896651241801567,0.008816401822916094,0
task4_fedavg,5,,0.7903433197316143,0.1732683329359864,0.8027766179937196,0.035748931408197765,0
task4_fedprox_dpsafe_arch_no_dp,5,,0.9142938216249782,0.08640090227013301,0.8285178274890974,0.005038625380409908,0
task4_fedprox_mu0,5,,0.750753786786871,0.16113151069307977,0.7918621702243958,0.04347092445853397,0
task4_fedprox_mu0.005,5,,0.8566897162588705,0.1030019493262381,0.8046734457351004,0.019673598097540723,0
task4_fedprox_mu0.02,5,,0.8337783675934066,0.06385009244898497,0.7590274301405145,0.07230028146382089,0
task4_fedprox_mu0.05,5,,0.7830032077643189,0.058136979631246345,0.7260987737626712,0.03864832508679898,0
task4_fedprox_mu0.1,5,,0.5688040442628511,0.038717710312354714,0.5687792462964483,0.06719722771518342,0
